fiveminute	AK	AL	AR	AZ	CA	CO	CT	DC	DE	FL	GA	HI	IA	ID	IL	IN	KS	KY	LA	MA	MD	ME	MI	MN	MO	MS	MT	NC	ND	NE	NH	NJ	NM	NV	NY	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VA	VT	WA	WI	WV	WY
12.0	0.0	0.0	2.0344976198073264	0.0	1.025198053806074	1.7349123348797186	0.0	0.0	0.0	1.6565232227990605	1.411298147318357	0.0	0.0	0.0	1.3203621986515994	2.600448439685046	2.425582269686632	0.0	1.5211131593020524	0.9027791152283189	1.0196169197270892	0.0	1.0118016544980655	1.3013235017723097	1.494523071118707	0.0	0.0	1.538134507401657	0.0	0.0	0.0	2.1433591401294363	0.0	0.0	3.270268086869153	1.2127275759091667	1.5728133961759663	2.820980813996578	0.6267855553508056	0.0	0.0	0.0	1.393999575294796	1.880333792249901	0.0	1.0994559281258784	0.0	6.0895935805244354	0.0	0.0	0.0
13.0	0.0	1.2442910371850155	0.0	1.2207673896407205	0.7886138875431339	1.5421442976708608	0.0	0.0	0.0	1.3459251185242367	1.512105157841097	0.0	0.0	0.0	0.7766836462656468	0.9178053316535456	2.425582269686632	0.0	0.0	0.0	0.0	0.0	0.0	1.1154201443762655	0.0	0.0	0.0	1.025423004934438	0.0	0.0	0.0	0.0	0.0	2.1747553672056315	1.8395257988638987	0.6929871862338095	0.0	0.0	0.783481944188507	0.0	0.0	0.0	1.2391107335953744	1.036102293688721	0.0	0.7329706187505857	0.0	3.6247580836454976	0.0	0.0	0.0
14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5176635071247064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3576855720013136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30699327220406547	0.0	0.0	0.0	1.449903233458199	0.0	0.0	0.0
15.0	0.0	1.8664365557775233	0.0	0.9155755422305404	0.9989109242213029	1.9276803720885762	0.0	0.0	0.0	0.9835606635369422	1.8145261894093163	0.0	0.0	0.0	1.3203621986515994	1.5296755527559094	0.0	0.0	1.5211131593020524	4.814821947884367	1.1895530730149375	6.0186940637620445	0.9106214890482589	0.0	0.0	0.0	0.0	1.1279653054278818	0.0	0.0	0.0	1.0152753821665752	0.0	0.0	2.452701065151865	0.8662339827922619	0.0	0.0	0.7051337497696563	0.0	0.0	0.0	1.393999575294796	0.8442314985611801	0.0	1.2216176979176427	0.0	2.3198451735331185	0.0	0.0	0.0
16.0	0.0	1.2442910371850155	0.0	0.0	0.6834653692040493	1.7349123348797186	0.0	0.0	0.0	0.0	0.7056490736591785	0.0	1.9517361669072724	0.0	0.0	0.0	0.0	0.0	0.0	3.0092637174277295	0.0	0.0	0.6070809926988393	0.0	0.0	0.0	0.0	0.7177961034541066	0.0	0.0	0.0	0.6768502547777168	0.0	0.0	1.6862319822919072	0.8662339827922619	0.0	0.0	0.6267855553508056	0.0	0.0	0.0	0.0	0.6139865444081309	0.0	1.5881030072929354	0.0	1.449903233458199	1.0477790750834992	0.0	0.0
17.0	8.202895895681038	0.0	3.0517464297109895	1.5259592370509008	1.5246535159167256	1.1566082232531456	4.177869158607789	0.0	0.0	1.863588625648943	1.6129121683638368	0.0	2.6023148892096963	0.0	1.3980305632781642	1.8356106633070912	0.0	2.511177593903774	1.955716919102639	1.3541686728424782	1.529425379590634	0.0	1.112981819947872	1.487226859168354	1.6605811901318965	2.0101000828831266	0.0	1.6406768078951008	0.0	3.233586181808383	0.0	2.820209394907153	0.0	0.0	5.365283580019704	1.2993509741883928	0.0	2.308075211451746	1.0968747218639099	0.0	1.481881981648797	0.0	1.0842218918959525	1.458218042969311	0.0	2.198911856251757	0.0	5.654622610486976	0.0	0.0	0.0
18.0	0.0	1.6590547162466873	2.712663493076435	0.9155755422305404	1.235495090484243	0.0	0.0	0.0	0.0	1.6565232227990605	1.7137191788865764	0.0	2.6023148892096963	0.0	0.8543520108922115	1.5296755527559094	0.0	1.5980221052114925	0.0	1.0532423010997054	1.0196169197270892	0.0	1.112981819947872	0.0	0.0	0.0	0.0	1.9483037093754323	0.0	0.0	0.0	0.902467006370289	0.0	0.0	3.321366025726484	0.9528573810714881	0.0	1.7951696089069136	1.3319193051204619	0.0	1.481881981648797	0.0	0.0	1.1895989297907539	0.0	1.4659412375011713	0.0	5.799612933832796	0.0	0.0	0.0
19.0	0.0	0.0	0.0	0.0	0.23658416626294015	0.0	0.0	0.0	0.0	0.6211962085496476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0219587771466103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7329706187505857	0.0	1.0149322634207394	0.0	0.0	0.0
20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36236445498729447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2302449541530491	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4087835108586441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
